Тип,Время,Температура,День недели,Средняя температура,Стандартное отклонение,Количество
Исходные данные,2023-01-05T22:00,-13.4,,,,
Исходные данные,2023-01-05T23:00,-14.9,,,,
Исходные данные,2023-01-06T00:00,-16.5,,,,
Исходные данные,2023-01-06T01:00,-17.5,,,,
Исходные данные,2023-01-06T02:00,-18.2,,,,
Исходные данные,2023-01-06T03:00,-20.8,,,,
Исходные данные,2023-01-06T04:00,-21.8,,,,
Исходные данные,2023-01-06T05:00,-22.5,,,,
Исходные данные,2023-01-06T06:00,-23.2,,,,
Исходные данные,2023-01-06T07:00,-23.9,,,,
Исходные данные,2023-01-06T08:00,-24.3,,,,
Исходные данные,2023-01-06T09:00,-24.7,,,,
Исходные данные,2023-01-06T10:00,-24.5,,,,
Исходные данные,2023-01-06T11:00,-24.0,,,,
Исходные данные,2023-01-06T12:00,-23.5,,,,
Исходные данные,2023-01-06T13:00,-23.2,,,,
Исходные данные,2023-01-06T14:00,-23.2,,,,
Исходные данные,2023-01-06T15:00,-23.1,,,,
Исходные данные,2023-01-06T16:00,-23.4,,,,
Исходные данные,2023-01-06T17:00,-23.9,,,,
Исходные данные,2023-01-06T18:00,-24.2,,,,
Исходные данные,2023-01-06T19:00,-24.7,,,,
Исходные данные,2023-01-06T20:00,-25.1,,,,
Исходные данные,2023-01-06T21:00,-25.5,,,,
Исходные данные,2023-01-06T22:00,-25.9,,,,
Исходные данные,2023-01-06T23:00,-26.1,,,,
Исходные данные,2023-01-07T00:00,-26.3,,,,
Исходные данные,2023-01-07T01:00,-26.5,,,,
Исходные данные,2023-01-07T02:00,-26.6,,,,
Исходные данные,2023-01-07T03:00,-24.8,,,,
Исходные данные,2023-01-07T04:00,-25.0,,,,
Исходные данные,2023-01-07T05:00,-25.5,,,,
Исходные данные,2023-01-07T06:00,-25.7,,,,
Исходные данные,2023-01-07T07:00,-26.5,,,,
Исходные данные,2023-01-07T08:00,-27.0,,,,
Исходные данные,2023-01-07T09:00,-27.5,,,,
Исходные данные,2023-01-07T10:00,-27.2,,,,
Исходные данные,2023-01-07T11:00,-25.9,,,,
Исходные данные,2023-01-07T12:00,-25.0,,,,
Исходные данные,2023-01-07T13:00,-24.4,,,,
Исходные данные,2023-01-07T14:00,-24.4,,,,
Исходные данные,2023-01-07T15:00,-25.2,,,,
Исходные данные,2023-01-07T16:00,-25.1,,,,
Исходные данные,2023-01-07T17:00,-25.5,,,,
Исходные данные,2023-01-07T18:00,-25.6,,,,
Исходные данные,2023-01-07T19:00,-25.5,,,,
Исходные данные,2023-01-07T20:00,-25.6,,,,
Исходные данные,2023-01-07T21:00,-25.6,,,,
Исходные данные,2023-01-07T22:00,-25.1,,,,
Исходные данные,2023-01-07T23:00,-24.9,,,,
Исходные данные,2023-01-08T00:00,-24.5,,,,
Исходные данные,2023-01-08T01:00,-23.4,,,,
Исходные данные,2023-01-08T02:00,-22.0,,,,
Исходные данные,2023-01-08T03:00,-20.1,,,,
Исходные данные,2023-01-08T04:00,-19.2,,,,
Исходные данные,2023-01-08T05:00,-18.6,,,,
Исходные данные,2023-01-08T06:00,-18.4,,,,
Исходные данные,2023-01-08T07:00,-18.3,,,,
Исходные данные,2023-01-08T08:00,-18.2,,,,
Исходные данные,2023-01-08T09:00,-18.0,,,,
Исходные данные,2023-01-08T10:00,-18.0,,,,
Исходные данные,2023-01-08T11:00,-17.9,,,,
Исходные данные,2023-01-08T12:00,-17.3,,,,
Исходные данные,2023-01-08T13:00,-16.5,,,,
Исходные данные,2023-01-08T14:00,-16.4,,,,
Исходные данные,2023-01-08T15:00,-16.9,,,,
Исходные данные,2023-01-08T16:00,-18.0,,,,
Исходные данные,2023-01-08T17:00,-19.0,,,,
Исходные данные,2023-01-08T18:00,-19.5,,,,
Исходные данные,2023-01-08T19:00,-20.4,,,,
Исходные данные,2023-01-08T20:00,-21.0,,,,
Исходные данные,2023-01-08T21:00,-21.2,,,,
Исходные данные,2023-01-08T22:00,-20.1,,,,
Исходные данные,2023-01-08T23:00,-20.7,,,,
Исходные данные,2023-01-09T00:00,-21.3,,,,
Исходные данные,2023-01-09T01:00,-21.8,,,,
Исходные данные,2023-01-09T02:00,-23.6,,,,
Исходные данные,2023-01-09T03:00,-20.2,,,,
Исходные данные,2023-01-09T04:00,-20.0,,,,
Исходные данные,2023-01-09T05:00,-19.6,,,,
Исходные данные,2023-01-09T06:00,-19.0,,,,
Исходные данные,2023-01-09T07:00,-19.4,,,,
Исходные данные,2023-01-09T08:00,-19.6,,,,
Исходные данные,2023-01-09T09:00,-20.5,,,,
Исходные данные,2023-01-09T10:00,-20.0,,,,
Исходные данные,2023-01-09T11:00,-19.4,,,,
Исходные данные,2023-01-09T12:00,-19.0,,,,
Исходные данные,2023-01-09T13:00,-18.9,,,,
Исходные данные,2023-01-09T14:00,-18.5,,,,
Исходные данные,2023-01-09T15:00,-19.4,,,,
Исходные данные,2023-01-09T16:00,-19.6,,,,
Исходные данные,2023-01-09T17:00,-20.0,,,,
Исходные данные,2023-01-09T18:00,-20.1,,,,
Исходные данные,2023-01-09T19:00,-20.2,,,,
Исходные данные,2023-01-09T20:00,-20.2,,,,
Исходные данные,2023-01-09T21:00,-20.2,,,,
Исходные данные,2023-01-09T22:00,-20.4,,,,
Исходные данные,2023-01-09T23:00,-20.5,,,,
Исходные данные,2023-01-10T00:00,-20.8,,,,
Исходные данные,2023-01-10T01:00,-20.9,,,,
Исходные данные,2023-01-10T02:00,-20.8,,,,
Исходные данные,2023-01-10T03:00,-20.4,,,,
Исходные данные,2023-01-10T04:00,-20.0,,,,
Исходные данные,2023-01-10T05:00,-19.4,,,,
Исходные данные,2023-01-10T06:00,-18.2,,,,
Исходные данные,2023-01-10T07:00,-17.5,,,,
Исходные данные,2023-01-10T08:00,-16.8,,,,
Исходные данные,2023-01-10T09:00,-16.1,,,,
Исходные данные,2023-01-10T10:00,-15.6,,,,
Исходные данные,2023-01-10T11:00,-15.6,,,,
Исходные данные,2023-01-10T12:00,-15.0,,,,
Исходные данные,2023-01-10T13:00,-14.4,,,,
Исходные данные,2023-01-10T14:00,-13.9,,,,
Исходные данные,2023-01-10T15:00,-13.1,,,,
Исходные данные,2023-01-10T16:00,-13.1,,,,
Исходные данные,2023-01-10T17:00,-12.8,,,,
Исходные данные,2023-01-10T18:00,-12.5,,,,
