day_of_week,Средняя температура,Стандартное отклонение,Количество
Monday,-3.873170731707317,3.7095432656837333,287
Tuesday,-3.9835570469798656,5.559567065699825,298
Wednesday,-3.299003322259136,5.614139797866537,301
Thursday,-3.221474358974359,5.030417484670628,312
Friday,-2.64375,4.373060047745132,288
Saturday,-3.1083650190114067,3.6123946916467067,263
Sunday,-2.4413194444444444,3.8115349860475516,288
